CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-506,"Black, African American, or African",Race Alone,228
OCT 2023 to SEP 2024,CA-506,"Black, African American, or African",Race Combination,119
OCT 2023 to SEP 2024,CA-506,Hispanic/Latina/e/o,Race Alone,679
OCT 2023 to SEP 2024,CA-506,Hispanic/Latina/e/o,Race Combination,1669
OCT 2023 to SEP 2024,CA-506,Native Hawaiian or Pacific Islander,Race Alone,43
OCT 2023 to SEP 2024,CA-506,Native Hawaiian or Pacific Islander,Race Combination,52
OCT 2023 to SEP 2024,CA-506,White,Race Alone,805
OCT 2023 to SEP 2024,CA-506,White,Race Combination,1568
OCT 2023 to SEP 2024,CA-506,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-506,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-507,"American Indian, Alaska Native, or Indigenous",Race Alone,21
OCT 2023 to SEP 2024,CA-507,"American Indian, Alaska Native, or Indigenous",Race Combination,91
OCT 2023 to SEP 2024,CA-507,Asian or Asian American,Race Alone,29
OCT 2023 to SEP 2024,CA-507,Asian or Asian American,Race Combination,11
OCT 2023 to SEP 2024,CA-507,"Black, African American, or African",Race Alone,359
OCT 2023 to SEP 2024,CA-507,"Black, African American, or African",Race Combination,104
OCT 2023 to SEP 2024,CA-507,Hispanic/Latina/e/o,Race Alone,292
OCT 2023 to SEP 2024,CA-507,Hispanic/Latina/e/o,Race Combination,348
OCT 2023 to SEP 2024,CA-507,Native Hawaiian or Pacific Islander,Race Alone,14
OCT 2023 to SEP 2024,CA-507,Native Hawaiian or Pacific Islander,Race Combination,14
OCT 2023 to SEP 2024,CA-507,White,Race Alone,783
OCT 2023 to SEP 2024,CA-507,White,Race Combination,304
OCT 2023 to SEP 2024,CA-507,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-507,Middle Eastern or North African,Race Combination,*
